Vancouver,Toronto,Match
PERSONAL SERVICES SETTINGS,Personal Services Candlemaking *Historic*,Yes
PERSONAL SERVICES SETTINGS,Personal Services Other,Yes
PERSONAL SERVICES SETTINGS,Personal Services Dying Service *Historic*,Yes
PERSONAL SERVICES SETTINGS,Personal Services Cleaning Service,No
PERSONAL SERVICES SETTINGS,Personal Services Shopping Service,No
PERSONAL SERVICES SETTINGS,Personal Services Decorating Service,Yes
PERSONAL SERVICES SETTINGS,Personal Services Mailing Service,Yes
PERSONAL SERVICES SETTINGS,Personal Services Recruiting Service,No
PERSONAL SERVICES SETTINGS,Personal Care Home,No
PERSONAL SERVICES SETTINGS,Personal Services Errand Service,Yes
PERSONAL SERVICES SETTINGS,Personal Services Monumental Works,Yes
PERSONAL SERVICES SETTINGS,Personal Services Project Management,No
PERSONAL SERVICES SETTINGS,Personal Services Process Server,No
PERSONAL SERVICES SETTINGS,Personal Services Pool Maintenance,No
PERSONAL SERVICES SETTINGS,Personal Services Accommodation Finding,No
PERSONAL SERVICES SETTINGS,Personal Services Art Restoration,No
PERSONAL SERVICES SETTINGS,Personal Services Packing/Packaging,No
PERSONAL SERVICES SETTINGS,Personal Services Pen-pal Service,Yes
PERSONAL SERVICES SETTINGS,Personal Services Window Tinting,Yes
PERSONAL SERVICES SETTINGS,Fitness Centre Personal Training Centre,Yes
PERSONAL SERVICES SETTINGS,Personal Services Inspection/Testing,Yes
PERSONAL SERVICES SETTINGS,Personal Services Shoe Shine,Yes
PERSONAL SERVICES SETTINGS,Personal Services Info/Research Service,Yes
PERSONAL SERVICES SETTINGS,Personal Services Freight Forwarding,No
PERSONAL SERVICES SETTINGS,Personal Services Furniture Refinishing,Yes
PERSONAL SERVICES SETTINGS,Personal Services Bicycle Registration,No
PERSONAL SERVICES SETTINGS,Personal Services Fabric Cutting/Protection,No
PERSONAL SERVICES SETTINGS,Personal Services Cook/Chef,No
PERSONAL SERVICES SETTINGS,Personal Services Key Cutting/Engraving,No
PERSONAL SERVICES SETTINGS,Personal Services Body Guard/Protection,No
PERSONAL SERVICES SETTINGS,Homecraft,No
PERSONAL SERVICES SETTINGS,Homecraft Other,No
PERSONAL SERVICES SETTINGS,Personal Services Interpreter/Translator,Yes
PERSONAL SERVICES SETTINGS,Personal Services Plant/Tree Maintenance,Yes
PERSONAL SERVICES SETTINGS,Homecraft Candlemaking *Historic*,No
PERSONAL SERVICES SETTINGS,Personal Services Tool Filer/Sharpener,No
PET SHOP,Pet Store,Yes
PET SHOP,Health and Beauty Barber Shop,No
PET SHOP,Auto Painter & Body Shop,No
PET SHOP,Homecraft,No
PET SHOP,Homecraft Other,No
PET SHOP,Homecraft Candlemaking *Historic*,No
PET SHOP,Business Services,No
PET SHOP,Retail Dealer - Food Department Store,No
PLACE OF AMUSEMENT,Amusement Park,Yes
PLACE OF AMUSEMENT,Homecraft,No
PLACE OF AMUSEMENT,Homecraft Other,No
PLACE OF AMUSEMENT,Homecraft Candlemaking *Historic*,No
PLACE OF AMUSEMENT,Entertainment Services 1-900 Service,Yes
PLUMBING CONTRACTOR,Plumber,Yes
PLUMBING CONTRACTOR,Electrical Contractor,No
PLUMBING CONTRACTOR,Electrical Contractor Other,No
PLUMBING CONTRACTOR,Contractor Masonry,No
PRECIOUS METAL SHOP,Sheet Metal Works,No
PRECIOUS METAL SHOP,Sheet Metal Works Other,No
PRECIOUS METAL SHOP,Manufacturer Metal Products,No
PRECIOUS METAL SHOP,Recycling Depot Scrap Metal Depot,No
PRECIOUS METAL SHOP,Manufacturer with Anc. Retail Metal Products,Yes
PRECIOUS METAL SHOP,Health and Beauty Barber Shop,No
PRECIOUS METAL SHOP,Auto Painter & Body Shop,No
PRECIOUS METAL SHOP,Homecraft,No
PRECIOUS METAL SHOP,Homecraft Other,No
PRECIOUS METAL SHOP,Homecraft Candlemaking *Historic*,No
PRIVATE PARKING ENFORCEMENT AGENCY,Model Agency,No
PRIVATE PARKING ENFORCEMENT AGENCY,Employment Agency Home Care,No
PRIVATE PARKING ENFORCEMENT AGENCY,Backyard Pay Parking,Yes
PRIVATE PARKING ENFORCEMENT AGENCY,School (Private) Business School,No
PRIVATE PARKING ENFORCEMENT AGENCY,School (Private),No
PRIVATE PARKING ENFORCEMENT AGENCY,Postal Rental Agency,No
PRIVATE PARKING ENFORCEMENT AGENCY,Postal Rental Agency Other,No
PRIVATE PARKING ENFORCEMENT AGENCY,Employment Agency,No
PRIVATE PARKING ENFORCEMENT AGENCY,Employment Agency Other,No
PRIVATE PARKING ENFORCEMENT AGENCY,Security Services Private Investigator,No
PRIVATE PARKING ENFORCEMENT AGENCY,Postal Rental Agency Duplicating,No
PRIVATE PARKING ENFORCEMENT AGENCY,Private Hospital,No
PRIVATE PARKING ENFORCEMENT AGENCY,Auto Parking Lot/Parkade,Yes
PRIVATE PARKING ENFORCEMENT AGENCY,Talent Agency,No
PRIVATE PARKING ENFORCEMENT AGENCY,Talent Agency Other,No
PRIVATE PARKING ENFORCEMENT AGENCY,Booking Agency,No
PRIVATE PARKING ENFORCEMENT AGENCY,Office Valet Parking Service,No
PRIVATE PARKING ENFORCEMENT AGENCY,Homecraft,No
PRIVATE PARKING ENFORCEMENT AGENCY,Homecraft Other,No
PRIVATE TRANSPORTATION COMPANY,Office Development Company,Yes
PRIVATE TRANSPORTATION COMPANY,Office Management Company,No
PRIVATE TRANSPORTATION COMPANY,School (Private),No
PRIVATE TRANSPORTATION COMPANY,Financial Services Investment Company,No
PRIVATE TRANSPORTATION COMPANY,School (Private) Business School,No
PRIVATE TRANSPORTATION COMPANY,Office Design Company,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Trust Company,No
PRIVATE TRANSPORTATION COMPANY,Computer Services Design Company,No
PRIVATE TRANSPORTATION COMPANY,Office Insurance Company,No
PRIVATE TRANSPORTATION COMPANY,Private Hospital,No
PRIVATE TRANSPORTATION COMPANY,Production Company Other,No
PRIVATE TRANSPORTATION COMPANY,Animal Services Animal Transportation,Yes
PRIVATE TRANSPORTATION COMPANY,Security Services Private Investigator,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Mortgage Company,No
PRIVATE TRANSPORTATION COMPANY,Manufacturer Design Company,No
PRIVATE TRANSPORTATION COMPANY,Financial Institution Trust Company,Yes
PRIVATE TRANSPORTATION COMPANY,Office Mortgage Company,No
PRIVATE TRANSPORTATION COMPANY,Production Company Video Production,No
PRIVATE TRANSPORTATION COMPANY,Business Services,No
PRIVATE TRANSPORTATION COMPANY,Production Company Music Production,No
PRIVATE TRANSPORTATION COMPANY,Production Company Film Production,No
PRIVATE TRANSPORTATION COMPANY,Homecraft,No
PRIVATE TRANSPORTATION COMPANY,Homecraft Other,No
PRIVATE TRANSPORTATION COMPANY,Public Market - Daily,No
PRIVATE TRANSPORTATION COMPANY,Production Company TV Production,No
PRIVATE TRANSPORTATION COMPANY,Public House *Historic*,No
PRIVATE TRANSPORTATION COMPANY,Homecraft Candlemaking *Historic*,No
PRIVATE TRANSPORTATION COMPANY,Liquor Establishment Extended Class 7 (Private Club),No
PRIVATE TRANSPORTATION COMPANY,Moving/Transfer Service Transport,Yes
PRIVATE TRANSPORTATION COMPANY,Liquor Establishment Standard Class 7 (Private Club),No
PRIVATE TRANSPORTATION COMPANY,School (Business & Trade) Business School,No
PRIVATE TRANSPORTATION COMPANY,Office Public Bike Share,No
PRIVATE TRANSPORTATION COMPANY,Public Market Operator-Annual,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Project Management,No
PRIVATE TRANSPORTATION COMPANY,School (Business & Trade),No
PRIVATE TRANSPORTATION COMPANY,Health Services Denturist,No
PRIVATE TRANSPORTATION COMPANY,Residential/Commercial,No
PRIVATE TRANSPORTATION COMPANY,Office Property Management,No
PRIVATE TRANSPORTATION COMPANY,Property Management *Historic*,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Candlemaking *Historic*,No
PRIVATE TRANSPORTATION COMPANY,Personal Care Home,No
PRIVATE TRANSPORTATION COMPANY,Office Project Management,No
PRIVATE TRANSPORTATION COMPANY,Contractor Building,No
PRIVATE TRANSPORTATION COMPANY,Health Services First Aid Service,No
PRIVATE TRANSPORTATION COMPANY,Model Agency,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer Residential Building,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer Administration,No
PRIVATE TRANSPORTATION COMPANY,Instruction Business Instruction,No
PRIVATE TRANSPORTATION COMPANY,One-Family Dwelling,No
PRIVATE TRANSPORTATION COMPANY,Community Association Administration,No
PRIVATE TRANSPORTATION COMPANY,Health Services Home Care,No
PRIVATE TRANSPORTATION COMPANY,Employment Agency Home Care,No
PRIVATE TRANSPORTATION COMPANY,Office Administration,No
PRIVATE TRANSPORTATION COMPANY,School (Business & Trade) Trade School,No
PRIVATE TRANSPORTATION COMPANY,Health Services Counselling,No
PRIVATE TRANSPORTATION COMPANY,Health Services Other,No
PRIVATE TRANSPORTATION COMPANY,Health Services,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Computer Time Rental,No
PRIVATE TRANSPORTATION COMPANY,Health Services Health Care Facility,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Bank,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Other,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Neighbourhood,No
PRIVATE TRANSPORTATION COMPANY,Community Association,No
PRIVATE TRANSPORTATION COMPANY,Community Association Other,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Produce,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Other,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Department Store,No
PRIVATE TRANSPORTATION COMPANY,Manufacturer - Food with Anc. Retail,No
PRIVATE TRANSPORTATION COMPANY,Office Mobile Food Vendor *Historic*,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer - Food Small Pharmacy,No
PRIVATE TRANSPORTATION COMPANY,Financial Institution Bank,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer Other,No
PRIVATE TRANSPORTATION COMPANY,One-Family Dwelling Primary (1 Rental),No
PRIVATE TRANSPORTATION COMPANY,Personal Services Monumental Works,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer Class 1,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Money Sending Service,No
PRIVATE TRANSPORTATION COMPANY,Financial Services Real Estate Development/Investment,No
PRIVATE TRANSPORTATION COMPANY,Pre-1956 Dwelling One Family,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Other,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Freight Forwarding,Yes
PRIVATE TRANSPORTATION COMPANY,Marine Services Marine Transport,No
PRIVATE TRANSPORTATION COMPANY,Retail Dealer Department Store,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Accommodation Finding,No
PRIVATE TRANSPORTATION COMPANY,Personal Services Pool Maintenance,No
PRIVATE TRANSPORTATION COMPANY,Family Sports & Entertain Ctr,No
PUBLIC GARAGE,Public House *Historic*,No
PUBLIC GARAGE,Office Public Bike Share,No
PUBLIC GARAGE,Office Notary Public,No
PUBLIC GARAGE,Public Market - Daily,No
PUBLIC GARAGE,Homecraft,No
PUBLIC GARAGE,Homecraft Other,No
PUBLIC GARAGE,Public Market Operator-Annual,No
PUBLIC GARAGE,Liquor License Application Neighbourhood Public House,No
PUBLIC GARAGE,Liquor License Application Public House,No
PUBLIC GARAGE,School (Private),No
PUBLIC GARAGE,Homecraft Candlemaking *Historic*,No
PUBLIC GARAGE,Contractor Building,No
PUBLIC GARAGE,Private Hospital,No
PUBLIC GARAGE,Liquor License Application Marine Public House,No
PUBLIC GARAGE,School (Private) Business School,No
PUBLIC GARAGE,Personal Services Candlemaking *Historic*,No
PUBLIC GARAGE,Health Services Denturist,No
PUBLIC GARAGE,Business Services,No
PUBLIC GARAGE,One-Family Dwelling,No
PUBLIC GARAGE,Office Property Management,No
PUBLIC GARAGE,Property Management *Historic*,No
PUBLIC GARAGE,Health Services Home Care,No
PUBLIC GARAGE,Personal Care Home,No
PUBLIC GARAGE,Pre-1956 Dwelling One Family,No
PUBLIC GARAGE,Office Management Company,No
PUBLIC GARAGE,One-Family Dwelling Primary (1 Rental),No
PUBLIC GARAGE,Residential/Commercial,No
PUBLIC HALL,Public House *Historic*,Yes
PUBLIC HALL,Assembly Hall,Yes
PUBLIC HALL,Dance Hall,No
PUBLIC HALL,Venue Concert Hall,Yes
PUBLIC HALL,Office Notary Public,No
PUBLIC HALL,Bingo Hall,No
PUBLIC HALL,Public Market - Daily,Yes
PUBLIC HALL,Stadium/Concert Hall *Historic*,Yes
PUBLIC HALL,Office Public Bike Share,No
PUBLIC HALL,School (Private),No
PUBLIC HALL,Homecraft,No
PUBLIC HALL,Homecraft Other,No
PUBLIC HALL,Public Market Operator-Annual,No
PUBLIC HALL,Contractor Building,No
PUBLIC HALL,School (Private) Business School,No
PUBLIC HALL,Liquor License Application Neighbourhood Public House,No
PUBLIC HALL,Liquor License Application Public House,No
PUBLIC HALL,Homecraft Candlemaking *Historic*,No
PUBLIC HALL,Private Hospital,No
PUBLIC HALL,Liquor License Application Marine Public House,No
PUBLIC HALL,Liquor License Application Stadium/ Concert Hall,No
PUBLIC HALL,Personal Services Candlemaking *Historic*,No
PUBLIC HALL,Community Association Administration,No
PUBLIC HALL,Business Services,No
PUBLIC HALL,Community Association,No
PUBLIC HALL,Community Association Other,No
PUBLIC HALL,Office Administration,No
PUBLIC HALL,Health Services Denturist,No
RETAIL STORE (FOOD),Retail Dealer - Food Department Store,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Convenience Store,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Pharmacy,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Bakery,Yes
RETAIL STORE (FOOD),Retail Dealer - Food,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Other,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Neighbourhood,Yes
RETAIL STORE (FOOD),Retail Dealer Department Store,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Produce,Yes
RETAIL STORE (FOOD),Liquor Retail Store,No
RETAIL STORE (FOOD),Retail Dealer - Food Confections,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Flowers,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Small Pharmacy,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food with Anc. Retail,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food with Anc. Retail Other,Yes
RETAIL STORE (FOOD),Liquor Retail Store Beer Only,No
RETAIL STORE (FOOD),Liquor Retail Store Full Service,No
RETAIL STORE (FOOD),Liquor Retail Store Wine,No
RETAIL STORE (FOOD),Retail Dealer - Food Video Rental,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Books/Stationary,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Butcher/Seafood,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Gifts/Novelties,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Vitamins/Health Food,Yes
RETAIL STORE (FOOD),Manufacturer - Food with Anc. Retail,Yes
RETAIL STORE (FOOD),Liquor Retail Store Brewery,No
RETAIL STORE (FOOD),Retail Dealer - Grocery,Yes
RETAIL STORE (FOOD),Retail Dealer - Grocery Other,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food Other,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food Produce,Yes
RETAIL STORE (FOOD),Retail Dealer - Food Computer Time Rental,Yes
RETAIL STORE (FOOD),Retail Dealer,Yes
RETAIL STORE (FOOD),Retail Dealer Other,Yes
RETAIL STORE (FOOD),Liquor Retail Store Specialty Wine,No
RETAIL STORE (FOOD),Liquor Retail Store Beer & Wine,No
RETAIL STORE (FOOD),Warehouse Operator - Food,No
RETAIL STORE (FOOD),Ltd Service Food Establishment Convenience Store,Yes
RETAIL STORE (FOOD),Pet Store,No
RETAIL STORE (FOOD),Retail Dealer Electronics,Yes
RETAIL STORE (FOOD),Specialty Wine Store *Historic*,No
RETAIL STORE (FOOD),Retail Dealer Pharmacy,Yes
RETAIL STORE (FOOD),Adult Entertainment Store,No
RETAIL STORE (FOOD),Retail Dealer Kiosk - Temporary,Yes
RETAIL STORE (FOOD),Retail Dealer Administration,Yes
RETAIL STORE (FOOD),Office Mobile Food Vendor *Historic*,Yes
RETAIL STORE (FOOD),Retail Dealer Kiosk - Permanent,Yes
RETAIL STORE (FOOD),Manufacturer - Food with Anc. Retail Confections,No
RETAIL STORE (FOOD),Retail Dealer Clothing/Shoes,No
RETAIL STORE (FOOD),Retail Dealer Furnishings,No
RETAIL STORE (FOOD),Retail Dealer Residential Building,No
RETAIL STORE (FOOD),Retail with Anc. Secondhand *Historic*,No
RETAIL STORE (FOOD),Retail Dealer Class 1,Yes
RETAIL STORE (FOOD),Retail Dealer Equipment Rental,No
RETAIL STORE (FOOD),Retail Dealer Art Gallery,Yes
RETAIL STORE (FOOD),Retail Dealer Books/Stationary,Yes
RETAIL STORE (FOOD),Retail Dealer Video Rental,Yes
RETAIL STORE (FOOD),Wholesale Dealer - Food Vitamins/Health Food,Yes
RETAIL STORE (FOOD),Retail Dealer Wood Products,No
RETAIL STORE (FOOD),Retail Dealer Flowers,No
RETAIL STORE (FOOD),Retail Dealer Confections,Yes
RETAIL STORE (FOOD),Retail Dealer Gifts/Novelties,No
RETAIL STORE (FOOD),CNIB Concession - Food,Yes
RETAIL STORE (FOOD),Retail Dealer Duplicating,Yes
RETAIL STORE (FOOD),Food Processing,No
RETAIL STORE (FOOD),Retail Dealer Antique Dealer,Yes
RETAIL STORE (FOOD),Manufacturer - Food,No
RETAIL STORE (FOOD),Manufacturer - Food Other,No
RETAIL STORE (FOOD),Manufacturer with Anc. Retail,No
RETAIL STORE (FOOD),Manufacturer with Anc. Retail Other,No
RETAIL STORE (FOOD),Ltd Service Food Establishment,Yes
RETAIL STORE (FOOD),Ltd Service Food Establishment Other,Yes
RETAIL STORE (FOOD),Retail Dealer Hardware/Garden Supplies,No
RETAIL STORE (FOOD),Wholesale Dealer - Food Butcher/Seafood,Yes
RETAIL STORE (FOOD),Warehouse Operator - Food Broker,No
RETAIL STORE (FOOD),Peddler - Food,No
RETAIL STORE (FOOD),Security Services Retail Alarms,No
RETAIL STORE (FOOD),Secondhand Dealer Class 5 (Retail),No
RETAIL STORE (FOOD),Specialty Wine Store *Historic* VQA Wine,No
RETAIL STORE (FOOD),Secondhand Dealer Class 4 (Retail),No
RETAIL STORE (FOOD),Secondhand Dealer Class 2 (Retail),No
RETAIL STORE (FOOD),Secondhand Dealer Class 6 (Retail),Yes
RETAIL STORE (FOOD),Retail Dealer Adult Video Rental,No
RETAIL STORE (FOOD),Retail Dealer Currency Exchange,No
RETAIL STORE (FOOD),Wholesale Dealer w/ Anc. Retail,No
RETAIL STORE (FOOD),Retail Dealer Shipping Agent,No
RETAIL STORE (FOOD),Ltd Service Food Establishment Produce,No
RETAIL STORE (FOOD),Retail Dealer Alterations & Repairs,No
RETAIL STORE (FOOD),Specialized Services Retail - Compassion Club,No
RETAIL STORE (FOOD),Ltd Service Food Establishment No Liquor Service,Yes
RETAIL STORE (FOOD),Retail Dealer Sports & Leisure Equipment,Yes
RETAIL STORE (FOOD),Retail Dealer Interior Design/Decorator,Yes
RETAIL STORE (FOOD),Ltd Service Food Establishment Beauty Salon,No
RETAIL STORE (FOOD),Ltd Service Food Establishment Clothing/Shoes,No
RETAIL STORE (FOOD),Homecraft,No
RETAIL STORE (FOOD),Homecraft Other,No
RETAIL STORE (FOOD),Ltd Service Food Establishment Flowers,Yes
RETAIL STORE (FOOD),Ltd Service Food Establishment Concession Stand,No
RETAIL STORE (FOOD),Manufacturer with Anc. Retail Metal Products,No
RETAIL STORE (FOOD),Manufacturer with Anc. Retail Wood Products,No
RETAIL STORE (FOOD),Business Services,No
RETAIL STORE (FOOD),Liquor License Application Food Primary,Yes
RETAIL STORE (FOOD),Retail Dealer - Market Outlet > 50000 sq ft,Yes
RETAIL STORE (FOOD),Retail Dealer - Market Outlet > 50,Yes
RETAIL STORE (FOOD),Homecraft Candlemaking *Historic*,No
RETAIL STORE (FOOD),Wholesale Dealer,Yes
RETAIL STORE (FOOD),Wholesale Dealer Other,Yes
RETAIL STORE (FOOD),Herbalist *Historic* Vitamins/Health Food,No
RETAIL STORE (FOOD),Wholesale Dealer Electronics,No
SECOND HAND DEALER,Homecraft,No
SECOND HAND DEALER,Homecraft Other,No
SECOND HAND DEALER,Homecraft Candlemaking *Historic*,No
SECOND HAND DEALER,Health Services First Aid Service,No
SECOND HAND DEALER,Personal Services Candlemaking *Historic*,No
SECOND HAND DEALER,Business Services,No
SECOND HAND DEALER,Pre-1956 Dwelling One Family,No
SECOND HAND DEALER,One-Family Dwelling,No
SECOND HAND DEALER,Office Pre-press,No
SECOND HAND DEALER,Retail Dealer Class 1,No
SECOND HAND DEALER,Personal Care Home,No
SECOND HAND DEALER,Office Management Company,No
SECOND HAND DEALER,Personal Services Other,No
SECOND HAND DEALER,Public House *Historic*,No
SECOND HAND DEALER,One-Family Dwelling Primary (1 Rental),No
SECOND HAND DEALER,Late Night Dance Event Less than 350 persons,No
SECOND HAND DEALER,Entertainment Services 1-900 Service,No
SECOND HAND DEALER,Secondhand Dealer Class 1,Yes
SECOND HAND DEALER,Secondhand Dealer Class 3,Yes
SECOND HAND DEALER,Late Night Dance Event 350 to 750 persons,No
SECOND HAND DEALER,Late Night Dance Event 2000 or more persons,No
SECOND HAND DEALER,Late Night Dance Event 750 to 2000 persons,No
SECOND HAND DEALER,Office Development Company,No
SECOND HAND DEALER,Contractor Building,No
SECOND HAND DEALER,Late Night Dance Event Concert: 500-1000 people,No
SECOND HAND DEALER,Late Night Dance Event Concert: 2000+ people,No
SECOND HAND DEALER,Personal Services Dying Service *Historic*,No
SECOND HAND DEALER,Restaurant Class 1,No
SECOND HAND DEALER,ESL Instruction ESL Instruction - 18 and Over,No
SECOND HAND DEALER,ESL Instruction ESL Instruction - Under 18,No
SECOND HAND DEALER,Restaurant Class 2,No
SECOND HAND DEALER,Personal Services Monumental Works,No
SECOND HAND DEALER,Office Design Company,No
SECOND HAND DEALER,Personal Services Project Management,No
SECOND HAND DEALER,Health Services Home Care,No
SECOND HAND DEALER,School (Private) Business School,No
SECOND HAND DEALER,Secondhand Dealer Class 2 (Retail),No
SECOND HAND DEALER,Money Services Money Sending Service,No
SECOND HAND DEALER,Financial Services Trust Company,No
SECOND HAND DEALER,Secondhand Dealer Class 4 (Retail),No
SECOND HAND DEALER,School (Private),No
SECOND HAND DEALER,Secondhand Dealer Class 5 (Retail),Yes
SECOND HAND DEALER,Family Sports & Entertain Ctr,No
SECOND HAND DEALER,Health Services Denturist,No
SECOND HAND DEALER,Computer Services Design Company,No
SECOND HAND DEALER,Liquor Establishment Extended Class 7 (Private Club),No
SECOND HAND DEALER,Financial Services Money Sending Service,No
SECOND HAND DEALER,Office Project Management,No
SECOND HAND DEALER,Secondhand Dealer Class 6 (Retail),Yes
SECOND HAND DEALER,Retail Dealer - Food Computer Time Rental,No
SECOND HAND DEALER,Financial Services Bank Machine,No
SECOND HAND DEALER,School (Business & Trade) Business School,No
SECOND HAND DEALER,Instruction ESL Instruction - 18 and Over,No
SECOND HAND DEALER,Instruction ESL Instruction - Under 18,No
SECOND HAND DEALER,Liquor Establishment Standard Class 7 (Private Club),No
SECOND HAND DEALER,Instruction Business Instruction,No
SECOND HAND DEALER,Office Desk-top Publishing,No
SECOND HAND DEALER,Public Market - Daily,No
SECOND HAND DEALER,Office Property Management,No
SECOND HAND DEALER,Property Management *Historic*,No
SECOND HAND DEALER,Moving/Transfer Service,No
SECOND HAND DEALER,Moving/Transfer Service Other,No
SECOND HAND SALVAGE SHOP,Homecraft,No
SECOND HAND SALVAGE SHOP,Homecraft Other,No
SECOND HAND SALVAGE SHOP,Auto Painter & Body Shop,No
SECOND HAND SALVAGE SHOP,Homecraft Candlemaking *Historic*,No
SECOND HAND SALVAGE SHOP,Health and Beauty Barber Shop,No
SECOND HAND SALVAGE SHOP,Health Services First Aid Service,No
SECOND HAND SALVAGE SHOP,Business Services,No
SECOND HAND SALVAGE SHOP,Restaurant Class 2,No
SECOND HAND SALVAGE SHOP,Restaurant Class 1,No
SECOND HAND SALVAGE SHOP,Personal Services Candlemaking *Historic*,No
SECOND HAND SALVAGE SHOP,One-Family Dwelling,No
SECOND HAND SALVAGE SHOP,Pre-1956 Dwelling One Family,No
SECOND HAND SALVAGE YARD,Homecraft,No
SECOND HAND SALVAGE YARD,Homecraft Other,No
SECOND HAND SALVAGE YARD,Lumber Yard,No
SECOND HAND SALVAGE YARD,Homecraft Candlemaking *Historic*,No
SECOND HAND SHOP,Homecraft,No
SECOND HAND SHOP,Homecraft Other,No
SECOND HAND SHOP,Homecraft Candlemaking *Historic*,No
SECOND HAND SHOP,Health and Beauty Barber Shop,No
SECOND HAND SHOP,Auto Painter & Body Shop,No
SECOND HAND SHOP,Health Services First Aid Service,No
SECOND HAND SHOP,Restaurant Class 1,No
SECOND HAND SHOP,Restaurant Class 2,No
SECOND HAND SHOP,Business Services,No
SECOND HAND SHOP,Retail Dealer Class 1,No
SECOND HAND SHOP,Secondhand Dealer Class 1,Yes
SECOND HAND SHOP,Secondhand Dealer Class 3,Yes
SECOND HAND SHOP,Retail Dealer Department Store,Yes
SECOND HAND SHOP,Personal Services Candlemaking *Historic*,No
SECOND HAND SHOP,Public House *Historic*,No
SECOND HAND SHOP,Liquor Retail Store Full Service,No
SECOND HAND SHOP,Adult Entertainment Store,No
SECOND HAND SHOP,Retail Dealer - Food Department Store,No
SECOND HAND SHOP,Secondhand Dealer Class 2 (Retail),Yes
SECOND HAND SHOP,Secondhand Dealer Class 4 (Retail),Yes
SECOND HAND SHOP,One-Family Dwelling,No
SECOND HAND SHOP,Secondhand Dealer Class 5 (Retail),Yes
SECOND HAND SHOP,Pre-1956 Dwelling One Family,No
SECOND HAND SHOP,Office Management Company,No
SECOND HAND SHOP,Secondhand Dealer Class 6 (Retail),Yes
SECOND HAND SHOP,Office Development Company,No
SECOND HAND SHOP,Personal Care Home,No
SECOND HAND SHOP,One-Family Dwelling Primary (1 Rental),No
SECOND HAND SHOP,Restaurant Class 1 No Liquor Service,No
SECOND HAND SHOP,Restaurant Class 1 With Liquor Service,No
SECOND HAND SHOP,Restaurant Class 2 With Liquor Service,No
SECOND HAND SHOP,Restaurant Class 2 No Liquor Service,No
SECOND HAND SHOP,Personal Services Shopping Service,No
SECOND HAND SHOP,Contractor Building,No
SECOND HAND SHOP,School (Private) Business School,No
SECOND HAND SHOP,Personal Services Monumental Works,No
SECOND HAND SHOP,Restaurant Class 1 & Karaoke *Historic*,No
SECOND HAND SHOP,Retail Dealer - Food Computer Time Rental,No
SECOND HAND SHOP,School (Business & Trade) Business School,No
SECOND HAND SHOP,Specialty Wine Store *Historic*,No
SECOND HAND SHOP,Office Design Company,No
SECOND HAND SHOP,Late Night Dance Event Less than 350 persons,No
SECOND HAND SHOP,Liquor Establishment Extended Class 7 (Private Club),No
SIDEWALK VENDING,Vending Machines,Yes
SIDEWALK VENDING,Vending Machines Other,Yes
SIDEWALK VENDING,Vending Machines Newspaper,Yes
SIDEWALK VENDING,Office Street Vendor,Yes
SIDEWALK VENDING,Vending Machines Bank Machine,Yes
SIDEWALK VENDING,Vending Machines Advertising Agent,No
SMOKE SHOP,Health and Beauty Barber Shop,No
SWIMMING POOL,Personal Services Pool Maintenance,No
